NAME	STATUS	LOOKED_UP_SYMBOL	TITLE
LOC149469	valid_symbol	LOC149469	hypothetical protein LOC149469
CRIP2	valid_symbol	CRIP2	cysteine-rich protein 2
SEC61A2	valid_symbol	SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)
STOML2	valid_symbol	STOML2	stomatin (EPB72)-like 2
SLC38A2	valid_symbol	SLC38A2	"solute carrier family 38, member 2"
NUP54	valid_symbol	NUP54	nucleoporin 54kDa
RNPC2	valid_symbol	RNPC2	"RNA-binding region (RNP1, RRM) containing 2"
TNXB	valid_symbol	TNXB	tenascin XB
MYO1E	valid_symbol	MYO1E	Myosin IE
SH2BP1	valid_symbol	SH2BP1	SH2 domain binding protein 1 (tetratricopeptide repeat containing)
INSR	valid_symbol	INSR	insulin receptor
TFAP2A	valid_symbol	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
FLJ26184	accession_or_alias	C16ORF47	chromosome 16 open reading frame 47
IHPK2	valid_symbol	IHPK2	inositol hexaphosphate kinase 2
IRA1	accession_or_alias	TBL1XR1	transducin (beta)-like 1X-linked receptor 1
GARNL3	valid_symbol	GARNL3	GTPase activating Rap/RanGAP domain-like 3
PSTPIP1	valid_symbol	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1
HIP1R	valid_symbol	HIP1R	huntingtin interacting protein-1-related
CXCL12	valid_symbol	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
PCDH17	valid_symbol	PCDH17	protocadherin 17
LDB2	valid_symbol	LDB2	LIM domain binding 2
BTG1	valid_symbol	BTG1	"B-cell translocation gene 1, anti-proliferative"
EGFL6	valid_symbol	EGFL6	"EGF-like-domain, multiple 6"
ARID4A	valid_symbol	ARID4A	AT rich interactive domain 4A (RBP1-like)
SEMA3A	valid_symbol	SEMA3A	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
FLJ00332	accession_or_alias	TBC1D10C	"TBC1 domain family, member 10C"
CD96	valid_symbol	CD96	CD96 antigen
LOC162427	valid_symbol	LOC162427	hypothetical protein LOC162427
C2ORF24	valid_symbol	C2ORF24	chromosome 2 open reading frame 24 /// chromosome 2 open reading frame 24
BDH	valid_symbol	BDH	"3-hydroxybutyrate dehydrogenase (heart, mitochondrial)"
KIAA0992	valid_symbol	KIAA0992	palladin
NT5C2	valid_symbol	NT5C2	"5'-nucleotidase, cytosolic II"
FLJ38159	valid_symbol	FLJ38159	hypothetical protein FLJ38159
HEBP2	valid_symbol	HEBP2	heme binding protein 2
CLDN18	valid_symbol	CLDN18	claudin 18
EMP1	valid_symbol	EMP1	epithelial membrane protein 1
TRPM3	valid_symbol	TRPM3	"transient receptor potential cation channel, subfamily M, member 3"
LIMK2	valid_symbol	LIMK2	LIM domain kinase 2
TCF4	valid_symbol	TCF4	Transcription factor 4
ATP6V0A1	valid_symbol	ATP6V0A1	"ATPase, H+ transporting, lysosomal V0 subunit a isoform 1"
DC2	valid_symbol	DC2	DC2 protein
PAI-RBP1	accession_or_alias	SERBP1	SERPINE1 mRNA binding protein 1
LOR	valid_symbol	LOR	loricrin
EPHA7	valid_symbol	EPHA7	EphA7
SFMBT1	valid_symbol	SFMBT1	Scm-like with four mbt domains 1
HHEX	valid_symbol	HHEX	hematopoietically expressed homeobox
SEMA5B	valid_symbol	SEMA5B	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B"
OSBPL5	valid_symbol	OSBPL5	oxysterol binding protein-like 5
ZNF143	valid_symbol	ZNF143	zinc finger protein 143 (clone pHZ-1)
VLDLR	valid_symbol	VLDLR	very low density lipoprotein receptor
CHRDL1	valid_symbol	CHRDL1	chordin-like 1
PBX1	valid_symbol	PBX1	pre-B-cell leukemia transcription factor 1
SNAG1	valid_symbol	SNAG1	sorting nexin associated golgi protein 1
ELF5	valid_symbol	ELF5	E74-like factor 5 (ets domain transcription factor)
PAIP2	valid_symbol	PAIP2	poly(A) binding protein interacting protein 2
HMGA2	valid_symbol	HMGA2	high mobility group AT-hook 2
PNLIPRP2	valid_symbol	PNLIPRP2	pancreatic lipase-related protein 2
HHIP	valid_symbol	HHIP	hedgehog interacting protein
BMX	valid_symbol	BMX	BMX non-receptor tyrosine kinase
SSH2	valid_symbol	SSH2	slingshot 2
NOX4	valid_symbol	NOX4	NADPH oxidase 4
CHI3L1	valid_symbol	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)
NOLA3	valid_symbol	NOLA3	"nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)"
VDP	valid_symbol	VDP	vesicle docking protein p115
EBF2	valid_symbol	EBF2	early B-cell factor 2
C12ORF2	accession_or_alias	C12ORF22	chromosome 12 open reading frame 22
UBE2B	valid_symbol	UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
NRAS	valid_symbol	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog
AKAP3	valid_symbol	AKAP3	A kinase (PRKA) anchor protein 3
KCNJ15	valid_symbol	KCNJ15	"potassium inwardly-rectifying channel, subfamily J, member 15"
FLJ44290	valid_symbol	FLJ44290	FLJ44290 protein
SORBS1	valid_symbol	SORBS1	sorbin and SH3 domain containing 1
SLC7A11	valid_symbol	SLC7A11	"solute carrier family 7, (cationic amino acid transporter, y+ system) member 11"
GABRG2	valid_symbol	GABRG2	"gamma-aminobutyric acid (GABA) A receptor, gamma 2"
ZNF161	valid_symbol	ZNF161	zinc finger protein 161
TMPRSS2	valid_symbol	TMPRSS2	"transmembrane protease, serine 2"
UNQ9372	valid_symbol	UNQ9372	AWKS9372
ANGPT2	valid_symbol	ANGPT2	angiopoietin 2
HECTD2	valid_symbol	HECTD2	HECT domain containing 2
HIF1A	valid_symbol	HIF1A	"hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
RBMS2	valid_symbol	RBMS2	"RNA binding motif, single stranded interacting protein 2"
FLJ13220	valid_symbol	FLJ13220	hypothetical protein FLJ13220
SMARCA4	valid_symbol	SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
ETV5	valid_symbol	ETV5	ets variant gene 5 (ets-related molecule)
GKN1	valid_symbol	GKN1	gastrokine 1
CBX6	valid_symbol	CBX6	chromobox homolog 6
ITGA1	valid_symbol	ITGA1	"integrin, alpha 1"
B3GALT2	valid_symbol	B3GALT2	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
DPT	valid_symbol	DPT	dermatopontin
MOSPD2	valid_symbol	MOSPD2	motile sperm domain containing 2
SFRS7	valid_symbol	SFRS7	"splicing factor, arginine/serine-rich 7, 35kDa"
CLECSF12	valid_symbol	CLECSF12	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12"
CDH12	valid_symbol	CDH12	"cadherin 12, type 2 (N-cadherin 2)"
SFRS12	valid_symbol	SFRS12	"splicing factor, arginine/serine-rich 12"
RGS9	valid_symbol	RGS9	regulator of G-protein signalling 9
FLJ36980	valid_symbol	FLJ36980	hypothetical protein FLJ36980
CGGBP1	valid_symbol	CGGBP1	CGG triplet repeat binding protein 1
C20ORF28	valid_symbol	C20ORF28	chromosome 20 open reading frame 28
KLF5	valid_symbol	KLF5	Kruppel-like factor 5 (intestinal)
PHTF2	valid_symbol	PHTF2	putative homeodomain transcription factor 2
C6ORF105	valid_symbol	C6ORF105	chromosome 6 open reading frame 105
DSIPI	valid_symbol	DSIPI	"delta sleep inducing peptide, immunoreactor"
KNSL8	valid_symbol	KNSL8	kinesin-like 8
RBBP4	valid_symbol	RBBP4	retinoblastoma binding protein 4
STX17	valid_symbol	STX17	syntaxin 17
HOXC4	valid_symbol	HOXC4	homeo box C4
NDRG1	valid_symbol	NDRG1	N-myc downstream regulated gene 1
FLJ32685	accession_or_alias	NEK10	NIMA (never in mitosis gene a)- related kinase 10
LOC90799	valid_symbol	LOC90799	hypothetical protein BC009518
FLJ22386	valid_symbol	FLJ22386	leucine zipper domain protein
HOXB9	valid_symbol	HOXB9	homeo box B9
HNRNPG-T	valid_symbol	HNRNPG-T	testes-specific heterogenous nuclear ribonucleoprotein G-T
EGR2	valid_symbol	EGR2	"early growth response 2 (Krox-20 homolog, Drosophila)"
C11ORF30	valid_symbol	C11ORF30	chromosome 11 open reading frame 30
LOC57117	valid_symbol	LOC57117	hypothetical nuclear factor SBBI22
HAS2	valid_symbol	HAS2	hyaluronan synthase 2
CDKL5	valid_symbol	CDKL5	cyclin-dependent kinase-like 5
TREX1	valid_symbol	TREX1	three prime repair exonuclease 1
GPR21	valid_symbol	GPR21	G protein-coupled receptor 21
JARID1A	valid_symbol	JARID1A	"Jumonji, AT rich interactive domain 1A (RBBP2-like)"
KIAA0999	valid_symbol	KIAA0999	KIAA0999 protein
ULK1	valid_symbol	ULK1	unc-51-like kinase 1 (C. elegans)
KIAA1333	valid_symbol	KIAA1333	KIAA1333
PPYR1	valid_symbol	PPYR1	pancreatic polypeptide receptor 1
POPDC3	valid_symbol	POPDC3	popeye domain containing 3
PXK	valid_symbol	PXK	PX domain containing serine/threonine kinase
FOXP3	valid_symbol	FOXP3	forkhead box P3
ELL2	valid_symbol	ELL2	"elongation factor, RNA polymerase II, 2"
CHD1	valid_symbol	CHD1	chromodomain helicase DNA binding protein 1
VCL	valid_symbol	VCL	vinculin
RAB23	valid_symbol	RAB23	"RAB23, member RAS oncogene family"
TGIF2	valid_symbol	TGIF2	TGFB-induced factor 2 (TALE family homeobox)
CACNA2D1	valid_symbol	CACNA2D1	"calcium channel, voltage-dependent, alpha 2/delta subunit 1"
ZDHHC14	valid_symbol	ZDHHC14	"zinc finger, DHHC domain containing 14"
ID1	valid_symbol	ID1	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
TBX6	valid_symbol	TBX6	T-box 6
LRP15	accession_or_alias	LRRC3B	leucine rich repeat containing 3B
SLC36A2	valid_symbol	SLC36A2	"solute carrier family 36 (proton/amino acid symporter), member 2"
PCF11	valid_symbol	PCF11	pre-mRNA cleavage complex II protein Pcf11
NEO1	valid_symbol	NEO1	neogenin homolog 1 (chicken)
FGL1	valid_symbol	FGL1	fibrinogen-like 1
PHF6	valid_symbol	PHF6	PHD finger protein 6
SQSTM1	valid_symbol	SQSTM1	sequestosome 1
TM7SF1	valid_symbol	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney)
APOM	valid_symbol	APOM	apolipoprotein M
LCP2	valid_symbol	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
TGIF	valid_symbol	TGIF	TGFB-induced factor (TALE family homeobox)
HNRPUL1	valid_symbol	HNRPUL1	heterogeneous nuclear ribonucleoprotein U-like 1
STARD5	valid_symbol	STARD5	START domain containing 5
PHF15	valid_symbol	PHF15	PHD finger protein 15
SPATA1	valid_symbol	SPATA1	spermatogenesis associated 1
PROX1	valid_symbol	PROX1	prospero-related homeobox 1
STC2	valid_symbol	STC2	stanniocalcin 2
LIN10	valid_symbol	LIN10	lin-10 protein homolog
ATP6V1A	valid_symbol	ATP6V1A	"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
GRID2	valid_symbol	GRID2	"glutamate receptor, ionotropic, delta 2"
MGC34646	valid_symbol	MGC34646	hypothetical protein MGC34646
PLD1	valid_symbol	PLD1	"phospholipase D1, phophatidylcholine-specific"
GRM5	valid_symbol	GRM5	"glutamate receptor, metabotropic 5"
OPCML	valid_symbol	OPCML	opioid binding protein/cell adhesion molecule-like
KCNS3	valid_symbol	KCNS3	"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3"
RBL2	valid_symbol	RBL2	retinoblastoma-like 2 (p130)
ASB7	valid_symbol	ASB7	ankyrin repeat and SOCS box-containing 7
ATP2A2	valid_symbol	ATP2A2	"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
DYRK1A	valid_symbol	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
RXRB	valid_symbol	RXRB	"retinoid X receptor, beta"
SRPUL	accession_or_alias	SRPX2	"sushi-repeat-containing protein, X-linked 2"
GCAT	valid_symbol	GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
IGSF4	valid_symbol	IGSF4	"immunoglobulin superfamily, member 4"
TLN2	valid_symbol	TLN2	talin 2
OTX1	valid_symbol	OTX1	orthodenticle homolog 1 (Drosophila)
ATP5J2	valid_symbol	ATP5J2	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2"
GLULD1	valid_symbol	GLULD1	glutamate-ammonia ligase (glutamine synthase) domain containing 1
PRDM13	valid_symbol	PRDM13	PR domain containing 13
FLJ45645	valid_symbol	FLJ45645	FLJ45645 protein
HNRPA2B1	valid_symbol	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
GRIN2B	valid_symbol	GRIN2B	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
DNAJB4	valid_symbol	DNAJB4	"DnaJ (Hsp40) homolog, subfamily B, member 4"
WSB2	valid_symbol	WSB2	WD repeat and SOCS box containing protein 2
HT017	valid_symbol	HT017	HT017 protein
ETS1	valid_symbol	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
SPON1	valid_symbol	SPON1	"spondin 1, (f-spondin) extracellular matrix protein"
RASGRP3	valid_symbol	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
JAG1	valid_symbol	JAG1	jagged 1 (Alagille syndrome)
ZIC4	valid_symbol	ZIC4	Zic family member 4
C9ORF55	valid_symbol	C9ORF55	chromosome 9 open reading frame 55
FLJ12787	accession_or_alias	UTP15	"UTP15, U3 small nucleolar ribonucleoprotein, homolog (yeast)"
NAALADL2	valid_symbol	NAALADL2	N-acetylated alpha-linked acidic dipeptidase 2
DKFZP761C169	accession_or_alias	GPBP1	GC-rich promoter binding protein 1
CRIPT	valid_symbol	CRIPT	postsynaptic protein CRIPT
MAPK10	valid_symbol	MAPK10	mitogen-activated protein kinase 10
RNF127	valid_symbol	RNF127	ring finger protein 127
GUCY1A2	valid_symbol	GUCY1A2	"guanylate cyclase 1, soluble, alpha 2"
SMAD5	valid_symbol	SMAD5	"SMAD, mothers against DPP homolog 5 (Drosophila)"
SLC4A1	valid_symbol	SLC4A1	"solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)"
SOX2	valid_symbol	SOX2	SRY (sex determining region Y)-box 2
HTR1B	valid_symbol	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B
SLC6A14	valid_symbol	SLC6A14	"solute carrier family 6 (neurotransmitter transporter), member 14"
POF1B	valid_symbol	POF1B	premature ovarian failure 1B
FLJ11175	valid_symbol	FLJ11175	hypothetical protein FLJ11175
MAP4K4	valid_symbol	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
FLJ31579	accession_or_alias	PLCXD2	"Phosphatidylinositol-specific phospholipase C, X domain containing 2"
BRD3	valid_symbol	BRD3	bromodomain containing 3
PSKH1	valid_symbol	PSKH1	protein serine kinase H1
FLJ13955	accession_or_alias	NPAL2	NIPA-like domain containing 2
TM4SF9	valid_symbol	TM4SF9	transmembrane 4 superfamily member 9
ARID5A	valid_symbol	ARID5A	AT rich interactive domain 5A (MRF1-like)
BARHL1	valid_symbol	BARHL1	BarH-like 1 (Drosophila)
CDKN2C	valid_symbol	CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
C9ORF156	valid_symbol	C9ORF156	chromosome 9 open reading frame 156
LOC221091	valid_symbol	LOC221091	similar to hypothetical protein
RIT1	valid_symbol	RIT1	Ras-like without CAAX 1
LY6G6E	valid_symbol	LY6G6E	"lymphocyte antigen 6 complex, locus G6E"
NFKBIE	valid_symbol	NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"
TRIAD3	valid_symbol	TRIAD3	TRIAD3 protein
NEDL1	accession_or_alias	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
CSDUFD1	accession_or_alias	CCDC10	coiled-coil domain containing 10
HBP1	valid_symbol	HBP1	HMG-box transcription factor 1
FLJ25393	valid_symbol	FLJ25393	hypothetical protein FLJ25393
MBNL2	valid_symbol	MBNL2	muscleblind-like 2 (Drosophila)
CRYGS	valid_symbol	CRYGS	"crystallin, gamma S"
GNB4	valid_symbol	GNB4	"guanine nucleotide binding protein (G protein), beta polypeptide 4"
GNAS	valid_symbol	GNAS	GNAS complex locus
RANGNRF	valid_symbol	RANGNRF	RAN guanine nucleotide release factor
PCDH8	valid_symbol	PCDH8	protocadherin 8
SLC39A7	valid_symbol	SLC39A7	"solute carrier family 39 (zinc transporter), member 7"
MSI2	valid_symbol	MSI2	musashi homolog 2 (Drosophila)
BLM	valid_symbol	BLM	Bloom syndrome
WNT5A	valid_symbol	WNT5A	"wingless-type MMTV integration site family, member 5A"
LMO4	valid_symbol	LMO4	LIM domain only 4
RUNX2	valid_symbol	RUNX2	runt-related transcription factor 2
SLC17A6	valid_symbol	SLC17A6	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6"
CBFA2T2	valid_symbol	CBFA2T2	"core-binding factor, runt domain, alpha subunit 2; translocated to, 2"
THBS3	valid_symbol	THBS3	thrombospondin 3
H3F3A	valid_symbol	H3F3A	"H3 histone, family 3A"
NUBP2	valid_symbol	NUBP2	"nucleotide binding protein 2 (MinD homolog, E. coli)"
CASC2	valid_symbol	CASC2	Cancer susceptibility candidate 2
RAD21	valid_symbol	RAD21	RAD21 homolog (S. pombe)
C9ORF24	valid_symbol	C9ORF24	chromosome 9 open reading frame 24
IRX4	valid_symbol	IRX4	iroquois homeobox protein 4
KRTHA4	valid_symbol	KRTHA4	"keratin, hair, acidic, 4"
APLP2	valid_symbol	APLP2	amyloid beta (A4) precursor-like protein 2
RALGPS2	valid_symbol	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
CSNK1G3	valid_symbol	CSNK1G3	"casein kinase 1, gamma 3"
CGI-116	valid_symbol	CGI-116	CGI-116 protein
ZNF532	valid_symbol	ZNF532	zinc finger protein 532
PHF13	valid_symbol	PHF13	PHD finger protein 13
KERA	valid_symbol	KERA	keratocan
C21ORF25	valid_symbol	C21ORF25	chromosome 21 open reading frame 25
DDX17	valid_symbol	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
ANGPT1	valid_symbol	ANGPT1	angiopoietin 1
SHOX2	valid_symbol	SHOX2	short stature homeobox 2
GLRX	valid_symbol	GLRX	glutaredoxin (thioltransferase)
ELOVL6	valid_symbol	ELOVL6	"ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)"
MDGA1	valid_symbol	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
C2ORF29	valid_symbol	C2ORF29	chromosome 2 open reading frame 29
PAM	valid_symbol	PAM	peptidylglycine alpha-amidating monooxygenase
ABCA6	valid_symbol	ABCA6	"ATP-binding cassette, sub-family A (ABC1), member 6"
NTS	valid_symbol	NTS	neurotensin
PPP1R10	valid_symbol	PPP1R10	"protein phosphatase 1, regulatory subunit 10"
DPM1	valid_symbol	DPM1	"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"
SULF2	valid_symbol	SULF2	sulfatase 2
LOC57149	valid_symbol	LOC57149	hypothetical protein A-211C6.1
NDUFB2	valid_symbol	NDUFB2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"
ILF3	valid_symbol	ILF3	"interleukin enhancer binding factor 3, 90kDa"
RBM5	valid_symbol	RBM5	RNA binding motif protein 5
DOCK4	valid_symbol	DOCK4	dedicator of cytokinesis 4
FLJ25831	accession_or_alias	OTUD6A	OTU domain containing 6A
IHPK1	valid_symbol	IHPK1	inositol hexaphosphate kinase 1
STOML3	valid_symbol	STOML3	stomatin (EPB72)-like 3
FLJ20898	accession_or_alias	C16ORF30	chromosome 16 open reading frame 30
USP3	valid_symbol	USP3	ubiquitin specific protease 3
COMMD3	valid_symbol	COMMD3	COMM domain containing 3
LOC91752	valid_symbol	LOC91752	similar to C630007C17Rik protein
C6ORF79	valid_symbol	C6ORF79	chromosome 6 open reading frame 79
C20ORF52	valid_symbol	C20ORF52	chromosome 20 open reading frame 52
EYA1	valid_symbol	EYA1	eyes absent homolog 1 (Drosophila)
SPATA4	valid_symbol	SPATA4	spermatogenesis associated 4
C20ORF151	valid_symbol	C20ORF151	chromosome 20 open reading frame 151
FLJ33516	accession_or_alias	MUM1L1	melanoma associated antigen (mutated) 1-like 1
TIAL1	valid_symbol	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1
FLJ14494	accession_or_alias	RPUSD4	RNA pseudouridylate synthase domain containing 4
SLC26A7	valid_symbol	SLC26A7	"solute carrier family 26, member 7"
C1QTNF7	valid_symbol	C1QTNF7	C1q and tumor necrosis factor related protein 7
CXCL11	valid_symbol	CXCL11	chemokine (C-X-C motif) ligand 11
DHX32	valid_symbol	DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32
MDA5	accession_or_alias	IFIH1	interferon induced with helicase C domain 1
JPH3	valid_symbol	JPH3	junctophilin 3
FBXO32	valid_symbol	FBXO32	F-box only protein 32
SIPA1L1	valid_symbol	SIPA1L1	signal-induced proliferation-associated 1 like 1
FALZ	valid_symbol	FALZ	fetal Alzheimer antigen
CALB1	valid_symbol	CALB1	"calbindin 1, 28kDa"
PKNOX2	valid_symbol	PKNOX2	PBX/knotted 1 homeobox 2
DC12	valid_symbol	DC12	DC12 protein
FKBP5	valid_symbol	FKBP5	FK506 binding protein 5
DAB1	valid_symbol	DAB1	disabled homolog 1 (Drosophila)
GTF2B	valid_symbol	GTF2B	general transcription factor IIB
SLC25A12	valid_symbol	SLC25A12	"solute carrier family 25 (mitochondrial carrier, Aralar), member 12"
CLPX	valid_symbol	CLPX	ClpX caseinolytic protease X homolog (E. coli)
VCIP135	accession_or_alias	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1
LONP	accession_or_alias	PRSS15	"protease, serine, 15"
SLC22A14	valid_symbol	SLC22A14	"solute carrier family 22 (organic cation transporter), member 14"
EIF4G1	valid_symbol	EIF4G1	"eukaryotic translation initiation factor 4 gamma, 1"
SH3GLB1	valid_symbol	SH3GLB1	SH3-domain GRB2-like endophilin B1
KIAA1468	valid_symbol	KIAA1468	KIAA1468 protein
FLJ10330	accession_or_alias	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
ARID4B	valid_symbol	ARID4B	AT rich interactive domain 4B (RBP1- like) /// AT rich interactive domain 4B (RBP1- like)
DKFZP686L1818	valid_symbol	DKFZP686L1818	hypothetical protein DKFZp686L1818
KCNJ16	valid_symbol	KCNJ16	"potassium inwardly-rectifying channel, subfamily J, member 16"
SLC6A20	valid_symbol	SLC6A20	"solute carrier family 6 (proline IMINO transporter), member 20"
PLAG1	valid_symbol	PLAG1	pleiomorphic adenoma gene 1
MSX2	valid_symbol	MSX2	msh homeo box homolog 2 (Drosophila)
FLJ10706	accession_or_alias	C1ORF112	chromosome 1 open reading frame 112
FLJ20530	accession_or_alias	C8ORF52	chromosome 8 open reading frame 52
ZNF216	accession_or_alias	ZA20D2	"zinc finger, A20 domain containing 2"
ORC1L	valid_symbol	ORC1L	"origin recognition complex, subunit 1-like (yeast)"
COH1	accession_or_alias	VPS13B	vacuolar protein sorting 13B (yeast)
IL6ST	valid_symbol	IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
VAX1	valid_symbol	VAX1	ventral anterior homeobox 1
SPARCL1	valid_symbol	SPARCL1	"SPARC-like 1 (mast9, hevin)"
NFIB	valid_symbol	NFIB	nuclear factor I/B
DBP	valid_symbol	DBP	D site of albumin promoter (albumin D-box) binding protein
HOXA2	valid_symbol	HOXA2	homeo box A2
CGI-63	accession_or_alias	MECR	mitochondrial trans-2-enoyl-CoA reductase
FLJ23790	accession_or_alias	FAM91A1	"family with sequence similarity 91, member A1"
PHOX2B	valid_symbol	PHOX2B	paired-like homeobox 2b
MID2	valid_symbol	MID2	midline 2
STAT5B	valid_symbol	STAT5B	signal transducer and activator of transcription 5B
PEX5R	accession_or_alias	PEX5L	peroxisomal biogenesis factor 5-like
PRP19	accession_or_alias	PRPF19	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)
STXBP3	valid_symbol	STXBP3	syntaxin binding protein 3
CTSK	valid_symbol	CTSK	cathepsin K (pycnodysostosis)
NEK1	valid_symbol	NEK1	NIMA (never in mitosis gene a)-related kinase 1
RBM8A	valid_symbol	RBM8A	RNA binding motif protein 8A
PGRMC1	valid_symbol	PGRMC1	progesterone receptor membrane component 1
NPAS2	valid_symbol	NPAS2	neuronal PAS domain protein 2
NEUROG1	valid_symbol	NEUROG1	neurogenin 1
RRM2B	valid_symbol	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)
MGC2629	accession_or_alias	ZBTB37	zinc finger and BTB domain containing 37
LRRC17	valid_symbol	LRRC17	leucine rich repeat containing 17
IL18R1	valid_symbol	IL18R1	interleukin 18 receptor 1
FLJ35409	valid_symbol	FLJ35409	FLJ35409 protein
BCL2L11	valid_symbol	BCL2L11	BCL2-like 11 (apoptosis facilitator)
TNFRSF7	valid_symbol	TNFRSF7	"tumor necrosis factor receptor superfamily, member 7"
FLJ22471	valid_symbol	FLJ22471	limkain beta 2
ZIC5	valid_symbol	ZIC5	"Zic family member 5 (odd-paired homolog, Drosophila)"
